Inference, EnumerationAsk, 0.12704801559448242, 0.03298330307006836


Inference, MC-SAT, 0.41259241104125977, 0.426084041595459
Inference, GibbsSampler, 0.13235950469970703, 0.13048553466796875
Inference, WCSPInference, 0.14697051048278809, 0.03890728950500488
Inference, EnumerationAsk, 0.1257154941558838, 0.034490108489990234


Inference, MC-SAT, 0.4151444435119629, 0.3933858871459961
Inference, GibbsSampler, 0.1362762451171875, 0.13303017616271973
Inference, WCSPInference, 0.14885234832763672, 0.0358579158782959
Inference, EnumerationAsk, 0.12607693672180176, 0.03446006774902344


Inference, MC-SAT, 0.4212794303894043, 0.5128307342529297
Inference, GibbsSampler, 0.2111959457397461, 0.20153021812438965
Inference, WCSPInference, 0.15387773513793945, 0.03600788116455078
Inference, EnumerationAsk, 0.13030242919921875, 0.032692909240722656


Inference, MC-SAT, 0.5247981548309326, 0.5441961288452148
Inference, GibbsSampler, 0.20447611808776855, 0.19281625747680664
Inference, WCSPInference, 0.1539630889892578, 0.038079261779785156
Inference, EnumerationAsk, 0.13021087646484375, 0.03369712829589844


Inference, MC-SAT, 0.5935795307159424, 0.53765869140625
Inference, GibbsSampler, 0.2058730125427246, 0.19257736206054688
Inference, WCSPInference, 0.15241527557373047, 0.03916311264038086
Inference, EnumerationAsk, 0.12951159477233887, 0.032689809799194336


Inference, MC-SAT, 0.5293159484863281, 0.5421242713928223
Inference, GibbsSampler, 0.2093489170074463, 0.19120240211486816
Inference, WCSPInference, 0.1511223316192627, 0.03732156753540039
Inference, EnumerationAsk, 0.12986207008361816, 0.03180193901062012


Inference, MC-SAT, 0.5298802852630615, 0.5380508899688721
Inference, GibbsSampler, 0.2056875228881836, 0.19204998016357422
Inference, WCSPInference, 0.14847135543823242, 0.03900027275085449
Inference, EnumerationAsk, 0.1298058032989502, 0.035214900970458984


Inference, MC-SAT, 0.5697340965270996, 0.4945943355560303
Inference, GibbsSampler, 0.2074577808380127, 0.1939990520477295
Inference, WCSPInference, 0.15169692039489746, 0.03734850883483887
Inference, EnumerationAsk, 0.13157415390014648, 0.037058353424072266


Inference, MC-SAT, 0.5811295509338379, 0.5330533981323242
Inference, GibbsSampler, 0.2125537395477295, 0.1981210708618164
Inference, WCSPInference, 0.15252685546875, 0.03912162780761719
Inference, EnumerationAsk, 0.1296091079711914, 0.03443789482116699


Inference, MC-SAT, 0.5336606502532959, 0.49489283561706543
Inference, GibbsSampler, 0.205977201461792, 0.19241595268249512
Inference, WCSPInference, 0.15241074562072754, 0.03470587730407715
Inference, EnumerationAsk, 0.12927794456481934, 0.034357547760009766


Inference, MC-SAT, 0.5146567821502686, 0.4860854148864746
Inference, GibbsSampler, 0.20488834381103516, 0.19178199768066406
Inference, WCSPInference, 0.152665376663208, 0.03531455993652344
Inference, EnumerationAsk, 0.13205766677856445, 0.032747745513916016


Inference, MC-SAT, 0.5308749675750732, 0.5411598682403564
Inference, GibbsSampler, 0.20636224746704102, 0.19495010375976562
Inference, WCSPInference, 0.1509392261505127, 0.03722119331359863
Inference, EnumerationAsk, 0.13015055656433105, 0.03473830223083496


Inference, MC-SAT, 0.5351278781890869, 0.4970829486846924
Inference, GibbsSampler, 0.20828747749328613, 0.19477128982543945
Inference, WCSPInference, 0.15326833724975586, 0.039307594299316406
Inference, EnumerationAsk, 0.1300649642944336, 0.03503012657165527


Inference, MC-SAT, 0.5419595241546631, 0.4889533519744873
Inference, GibbsSampler, 0.20482540130615234, 0.19179177284240723
Inference, WCSPInference, 0.1519298553466797, 0.03628349304199219
Inference, EnumerationAsk, 0.12952566146850586, 0.03267383575439453


Inference, MC-SAT, 0.5869946479797363, 0.5315544605255127
Inference, GibbsSampler, 0.20817017555236816, 0.1929020881652832
Inference, WCSPInference, 0.15175747871398926, 0.03840184211730957
Inference, EnumerationAsk, 0.12935781478881836, 0.033164024353027344


Inference, MC-SAT, 0.5813052654266357, 0.49274110794067383
Inference, GibbsSampler, 0.2139420509338379, 0.19749832153320312
Inference, WCSPInference, 0.1500389575958252, 0.0273129940032959
Inference, EnumerationAsk, 0.12960219383239746, 0.03395390510559082


Inference, MC-SAT, 0.5399160385131836, 0.5073032379150391
Inference, GibbsSampler, 0.20526480674743652, 0.19205045700073242
Inference, WCSPInference, 0.14952874183654785, 0.038197994232177734
Inference, EnumerationAsk, 0.12637877464294434, 0.013956546783447266


Inference, MC-SAT, 0.600440502166748, 0.5422158241271973
Inference, GibbsSampler, 0.20973467826843262, 0.1953115463256836
Inference, WCSPInference, 0.152817964553833, 0.03836679458618164
Inference, EnumerationAsk, 0.1302785873413086, 0.03547310829162598


Inference, MC-SAT, 0.5759999752044678, 0.4873921871185303
Inference, GibbsSampler, 0.20609450340270996, 0.192213773727417
Inference, WCSPInference, 0.1519756317138672, 0.03716897964477539
Inference, EnumerationAsk, 0.1287822723388672, 0.033544301986694336


Inference, MC-SAT, 0.5277791023254395, 0.48954081535339355
Inference, GibbsSampler, 0.20663905143737793, 0.1923234462738037
Inference, WCSPInference, 0.15395498275756836, 0.03665447235107422
Inference, EnumerationAsk, 0.12993550300598145, 0.0352787971496582


Inference, MC-SAT, 0.5368900299072266, 0.5407314300537109
Inference, GibbsSampler, 0.20678114891052246, 0.1949911117553711
Inference, WCSPInference, 0.14985036849975586, 0.03535819053649902
Inference, EnumerationAsk, 0.12897706031799316, 0.032660484313964844


Inference, MC-SAT, 0.5239198207855225, 0.536860466003418
Inference, GibbsSampler, 0.21027040481567383, 0.19652223587036133
